Numeración;Ciudad;Empresa Solicitante;Area;Nestudios;Formación;Especialización;Maestría;Doctorado;Posgrado;Experiencia;Lenguajes;DatosAlma;HerraContables;HerraVisualizacion;HerraOfimaticas;OtrosConocimientos;Sintervalo;Idiomas;Salario;Vacantes;Sector de la vacante
176;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;1;0;0;1;2;0;0;0;0;0;0;2 a 2.5millones;Otro;1;1;Consultorías
177;Bucaramanga;Fundacion de la Mujer;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;1;1;Salario a convenir;Otro;0;1;Financiero
178;Bucaramanga;Fundacion de la Mujer;Inversiones, servicio al cliente;2;Universitaria;0;0;0;0;3;0;0;1;0;1;0;2 a 2.5millones;B;1;1;Financiero
179;Bucaramanga;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;5;1;0;1;1;1;0;4.5 a 5.5 millones;Otro;2;1;Financiero
180;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;1;1;Salario a convenir;Otro;0;1;Financiero
181;Bucaramanga;Miverva Foods - Red Cárnica SAS;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;1;0;2 a 2.5millones;Otro;1;1;Alimentos
182;Bucaramanga;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;1;1 a 1.5millones;Otro;1;1;Financiero
183;Bucaramanga;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;5;1;0;0;1;1;0;4.5 a 5.5 millones;Otro;2;1;Financiero
184;Bogota;Ecopetrol;Administrativa y financiera;2;Universitaria;0;0;0;0;8;1;1;0;1;1;0;15 a 18 millones;B;3;1;Financiero
185;Bogota;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;5;0;1;0;0;1;0;8 a 10 millones;Otro;3;1;Construccion
186;Bogota;Empresa confidencial;Consultoría;2;Universitaria;0;0;0;0;2;0;0;0;0;0;0;Salario a convenir;Otro;0;1;Construccion
187;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;0;0;0;0;0;1;1;2 a 2.5millones;Otro;1;1;Financiero
188;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;1;0;0;1;1;0;0;0;0;1;1;4 a 4.5 millones;Otro;2;1;Estatal y relacionados
189;Bogota;Federación Nacional de Cultivadores de Palma;Proyectos;2;Universitaria;1;0;0;1;3;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Agropecuario
190;Medellin;Hospital San Vicente Fundación;Salud;2;Universitaria;0;0;0;0;1;0;0;0;0;1;0;3 a 3.5 millones;Otro;2;1;Salud
191;Bucaramanga;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;1;0;0;0;1;0;Salario a convenir;Otro;0;1;Tecnología
192;Medellin;Tecnoquimicas;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;2;1;0;0;1;1;1;8 a 10 millones;Otro;3;1;Consumo masivo
