Item;Ciudad;Area;Nestudios;Estudios;Espec;Maestria;Doctorado;Posgrado;Experiencia;Aexperiencia;Lenguajes;DatosAlma;HerraContables;HerraVisualizacion;HerraOfimaticas;OtrosConocimientos;Ingles;Pingles;Sintervalos;Salario;Vacantes;Sector de la vacante
659;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;0;Otro;No;$1,5 a $2 millones;1;1;
660;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;0;Otro;No;$2 a $2,5 millones;2;1;
661;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;0;Otro;No;$2,5 a $3 millones;2;1;
662;Medellin;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;0;Otro;No;$2 a $2,5 millones;2;1;
663;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;No;$2,5 a $3 millones;2;1;
664;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;0;Otro;No;$2,5 a $3 millones;2;1;
665;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;5;3;0;0;0;0;0;1;B2;Si;$10 a $12,5 millones;3;1;
666;Medellin;Docencia e I+D;3;Maestría;0;1;0;1;8;4;0;0;0;0;0;1;Otro;No;Otro;0;1;
667;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;0;Otro;No;$2,5 a $3 millones;2;1;
668;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;4;2;0;0;0;0;0;1;Otro;No;Otro;0;1;
669;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;0;0;0;0;0;0;Otro;No;$2 a $2,5 millones;2;1;
670;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;6;3;0;0;0;0;0;1;Otro;No;Otro;0;1;
671;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;1;1;Otro;No;$3 a $3,5 millones;2;1;
672;Medellin;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;4;2;0;0;0;0;0;0;Otro;No;$3 a $3,5 millones;2;1;
673;Medellin;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;4;2;0;0;0;0;0;1;Otro;No;$3,5 a $4 millones;2;1;
674;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;0;Otro;No;$3 a $3,5 millones;2;1;
675;Medellin;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;4;2;0;0;0;0;0;1;Otro;No;$3 a $3,5 millones;2;1;
676;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;No;Otro;0;1;
677;Medellin;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;0;Otro;No;$3 a $3,5 millones;2;1;
678;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;0;0;0;1;8;4;0;0;0;0;0;1;Otro;No;Otro;0;1;
679;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;0;0;0;0;0;1;Otro;No;$3 a $3,5 millones;2;1;
680;Medellin;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;No;$4,5 a $5,5 millones;2;1;
681;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;0;1;0;0;0;0;0;0;Otro;No;$1 a $1,5 millones;1;1;
682;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;1;0;0;1;3;2;0;0;0;0;1;1;Otro;No;$2 a $2,5 millones;2;1;
683;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;0;Otro;No;$3 a $3,5 millones;2;1;
684;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;1;1;Otro;No;$2 a $2,5 millones;2;1;
685;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;C1;Si;$4,5 a $5,5 millones;2;2;
686;Medellin;otros;2;Universitaria;0;0;0;0;1;1;0;0;0;0;1;1;B2;Si;$3 a $3,5 millones;2;1;
687;Medellin;Docencia e I+D;3;Doctorado;0;0;1;1;15;5;0;0;0;0;0;1;Otro;No;Otro;0;1;
688;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;No;$4,5 a $5,5 millones;2;1;
689;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;0;1;0;0;0;0;0;1;Otro;No;Otro;0;1;
690;Medellin;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;No;$1 a $1,5 millones;1;1;
691;Medellin;otros;2;Universitaria;0;0;0;0;8;4;0;1;0;0;1;1;Otro;No;Otro;0;1;
692;Medellin;otros;2;Universitaria;0;0;0;0;1;1;1;0;0;0;1;1;Otro;No;$2 a $2,5 millones;2;1;
693;Medellin;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;4;2;0;0;0;0;0;1;Otro;No;$6 a $8 millones;3;1;
694;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;No;$2,5 a $3 millones;2;1;
695;Medellin;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;0;Otro;No;$1 a $1,5 millones;1;1;
696;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;0;1;0;0;0;0;0;0;Otro;No;Otro;0;1;
697;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;0;0;0;0;0;1;Otro;No;Otro;0;1;
698;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;8;4;0;0;0;0;0;1;Otro;No;Otro;0;1;
699;Medellin;Compras, Inventarios y comercio Internacional;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;0;Otro;No;$2 a $2,5 millones;2;1;
700;Medellin;Comercial, ventas y servicio al cliente;3;Especialización;1;1;0;1;10;4;0;0;0;0;0;1;B2;Si;Otro;0;1;
701;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;0;0;0;0;0;0;Otro;No;$3 a $3,5 millones;2;1;
702;Medellin;otros;2;Universitaria;0;0;0;0;2;2;1;0;0;0;0;1;Otro;No;Otro;0;1;
703;Medellin;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;0;0;0;1;1;Otro;No;Otro;0;1;
704;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;A2;Si;$1,5 a $2 millones;1;1;
